earnwke,uhours,grade92,sex,age,marital,occ2012
680.0,40,41,1,38,1,7315
1153.0,40,43,2,36,7,420
2480.76,50,45,1,38,1,3060
1378.0,40,40,1,36,1,6355
312.0,24,39,2,59,1,5400
2884.61,84,41,1,51,5,6440
225.0,25,39,1,51,5,4020
700.0,40,43,1,54,7,4760
750.0,40,40,1,36,5,4850
1346.15,40,43,1,54,1,2040
138.0,20,40,1,18,7,5160
692.0,40,39,2,21,7,3600
375.0,55,33,2,63,6,3600
1538.46,40,43,1,62,1,300
346.0,38,43,2,50,7,4710
1057.69,40,43,1,41,7,1050
2884.61,60,44,1,47,1,10
769.23,40,43,2,54,1,3030
1923.07,50,44,2,56,5,20
1160.0,40,42,1,56,1,2630
170.0,25,39,2,53,1,4020
1250.0,40,43,1,33,7,4700
730.0,40,43,1,35,1,310
2884.61,50,45,1,49,1,3060
2000.0,40,43,2,50,1,3255
620.0,40,39,1,29,5,9130
865.0,40,39,2,53,1,800
961.53,40,39,1,63,1,4250
1250.0,40,39,1,43,1,6355
440.0,40,39,2,42,5,8965
400.0,40,39,2,57,1,4110
1923.0,40,43,1,45,1,540
360.0,40,42,2,38,5,4810
880.0,40,39,1,21,7,6320
285.0,30,39,2,21,7,4720
192.0,20,43,2,48,1,3050
480.76,40,37,1,37,1,8255
2019.23,40,44,1,30,7,1320
890.0,40,42,2,40,1,3500
240.0,20,40,2,27,7,4110
989.6,40,40,1,49,1,3820
440.0,40,40,1,27,7,4400
1250.0,60,39,1,37,1,7700
480.0,40,40,1,34,7,3945
105.0,15,38,2,17,7,4720
370.0,40,39,1,23,7,8965
475.0,40,40,2,22,7,9610
2884.61,50,45,2,39,1,2100
782.5,40,39,1,37,1,6355
270.0,9,36,1,17,7,4130
1500.0,40,43,2,29,1,2310
711.53,40,40,1,33,7,3850
1730.76,40,43,1,33,7,710
380.0,40,40,1,37,1,430
880.0,40,43,1,45,3,4400
504.0,36,43,2,43,1,3255
920.0,40,43,1,28,7,6230
461.53,40,43,2,54,5,5840
480.0,40,40,1,34,7,7330
1125.0,45,43,1,27,1,5520
1288.46,40,40,1,46,7,1010
1307.69,40,39,1,29,7,8610
1288.46,40,43,2,37,7,4620
961.53,40,39,1,32,1,5100
1326.92,40,39,1,45,5,6400
1450.0,30,37,1,43,5,3535
423.07,40,39,2,44,5,8965
693.75,37,40,2,48,1,4040
1538.46,40,43,2,33,1,850
494.0,38,39,2,49,1,5840
180.0,20,39,2,58,1,310
400.0,40,40,1,30,5,4700
769.0,60,40,2,64,6,4230
519.23,40,43,2,40,1,5120
1000.0,35,44,1,32,7,2320
210.0,28,39,2,42,5,5620
923.07,50,41,2,50,1,4700
420.0,35,43,2,59,1,4760
840.0,40,34,1,51,5,6765
2057.69,45,44,2,36,1,740
255.0,30,40,2,56,1,4760
961.53,40,40,1,36,1,20
540.0,40,41,1,34,1,4700
1288.46,40,39,1,30,1,430
72.5,10,36,2,16,7,4060
1490.0,50,43,1,51,5,7700
733.28,40,39,1,26,1,5630
600.0,40,39,2,26,7,4760
961.53,40,40,1,29,7,6220
480.0,40,32,2,61,1,9640
385.0,35,37,2,58,1,4230
360.0,40,40,2,46,6,7750
1384.61,40,44,1,38,1,2310
1413.6,40,43,1,60,1,1540
720.0,40,39,1,30,1,4210
253.84,40,39,2,26,7,3640
156.75,19,39,1,23,7,4010
148.0,20,39,2,52,3,4720
1250.0,40,43,2,39,1,430
1000.0,40,44,2,29,7,2860
1153.84,40,42,2,50,1,6200
769.23,40,40,1,34,7,5120
2884.61,40,44,2,45,1,1240
1170.0,45,41,1,31,1,3850
865.38,40,43,1,45,1,2320
400.0,60,34,1,47,1,2060
1615.38,40,44,2,49,1,3258
1346.0,40,39,2,43,1,800
1120.0,40,42,2,46,1,910
1076.0,60,43,1,24,7,710
1050.0,40,43,2,45,7,540
1153.84,40,39,1,51,1,6320
262.5,25,39,1,62,5,4220
1096.15,40,43,1,44,5,630
480.0,40,39,2,28,1,4760
150.0,20,39,1,27,7,5120
420.0,40,41,2,26,1,4720
123.75,15,40,2,19,7,4720
1661.53,40,40,1,47,1,9040
360.0,40,39,1,26,7,4430
1480.0,40,43,1,27,7,4040
1000.0,40,43,1,62,1,4700
125.0,52,43,2,38,1,3420
961.0,40,39,1,52,5,9610
2500.0,60,43,1,54,1,50
492.0,40,40,2,60,7,8350
576.0,18,46,2,39,1,3160
200.0,24,46,1,43,1,50
300.0,38,40,2,20,7,5120
730.0,40,39,2,36,1,520
120.0,12,36,2,16,7,2720
700.0,40,39,2,38,1,3649
120.0,15,40,1,61,5,4040
961.53,40,43,1,59,1,10
1428.57,50,44,2,44,1,2200
170.0,17,40,1,22,7,230
160.0,20,38,1,17,7,4030
600.0,40,43,1,24,7,3150
1264.0,40,41,1,41,5,7630
1040.0,40,43,1,29,1,120
600.0,30,39,1,38,1,6420
250.0,30,37,2,17,7,4060
600.0,40,40,2,32,6,3645
324.0,30,40,1,21,7,4760
800.0,40,39,2,38,7,5240
1210.0,50,39,1,55,1,9130
2000.0,50,39,1,55,5,430
400.0,45,40,1,26,7,4220
769.0,36,44,2,37,7,2310
193.75,25,39,1,28,7,7200
1080.0,40,43,2,56,1,136
1160.0,40,44,2,46,7,5000
634.0,40,39,1,56,1,9640
757.0,47,40,1,37,1,4760
2884.61,55,44,2,44,1,10
1150.0,60,39,1,23,7,5630
1153.84,52,39,1,61,1,7700
600.0,40,42,2,48,1,5700
165.0,20,39,1,20,7,4020
1346.0,40,46,1,44,5,220
692.3,40,43,2,38,1,5240
1200.0,40,39,1,42,1,6260
330.0,33,39,1,50,6,4220
1182.0,40,43,2,34,1,136
552.0,40,39,1,44,1,8255
320.0,40,40,1,24,1,4250
2307.69,45,46,1,50,7,1800
370.0,37,41,2,32,7,310
1769.23,45,40,2,38,1,120
576.0,40,39,2,33,1,350
480.0,40,39,1,55,3,6440
1615.0,40,44,1,50,5,3255
2307.69,60,43,2,54,7,10
1057.69,40,44,2,48,1,230
300.0,30,42,1,23,1,9640
1000.0,40,39,1,47,1,5800
640.0,32,43,2,62,5,3255
1000.0,18,44,2,64,1,2010
769.0,40,39,2,35,1,3500
576.0,40,39,2,26,5,3600
646.15,40,39,1,28,5,5550
692.3,40,43,2,28,1,1010
400.0,40,39,1,25,7,9130
800.0,40,42,2,56,5,800
660.0,40,39,2,32,5,5120
872.0,40,41,1,30,7,6355
634.61,50,43,2,25,7,2310
385.0,35,40,1,24,7,4110
390.0,40,39,1,37,5,6520
450.0,40,40,2,53,1,5160
400.0,40,40,1,25,7,4020
1500.0,40,44,2,28,7,5310
103.5,6,40,2,61,5,5120
923.07,30,44,2,51,6,2200
340.0,40,32,2,57,1,4130
832.0,40,42,2,47,5,800
540.0,40,40,2,21,6,4720
1923.07,50,43,1,55,5,310
2884.61,44,44,2,37,1,1530
673.07,40,43,2,55,1,350
1250.0,40,44,1,52,1,1760
807.69,40,43,2,51,1,50
1538.46,40,44,1,34,1,2015
480.0,40,43,2,57,1,5940
867.0,45,44,1,43,1,420
2115.38,75,39,1,37,1,9130
903.84,45,40,2,26,1,5700
390.0,30,39,2,25,7,5240
440.0,40,40,1,25,7,800
1460.0,40,43,1,44,1,1740
360.0,40,42,1,30,1,3655
250.0,40,32,2,60,1,7750
385.0,22,42,2,48,1,5700
200.0,32,35,1,23,7,7200
747.69,40,40,2,61,5,4010
461.53,37,39,2,51,1,2540
80.0,10,40,1,22,7,4720
2884.61,50,43,1,51,1,630
480.76,40,39,1,44,1,4220
730.76,40,40,2,58,4,5350
217.5,30,43,2,24,7,4030
582.0,42,39,1,22,7,8930
610.0,40,40,2,47,7,7700
576.92,30,41,2,54,1,3255
880.0,40,42,2,51,7,5700
600.0,40,39,1,20,7,6330
576.0,40,43,2,55,1,120
1538.0,50,44,1,51,1,430
600.0,40,39,2,62,1,5340
470.0,40,33,2,55,5,3600
2.0,40,43,1,43,1,1010
272.0,16,43,2,63,1,2060
160.0,20,39,1,24,7,9620
75.0,10,36,1,16,7,4020
430.0,40,39,1,23,7,6420
660.0,40,40,2,57,1,5700
684.0,72,31,1,25,7,6050
280.0,35,33,2,36,7,8965
1538.46,70,39,1,26,5,6840
644.0,40,39,2,56,5,430
230.0,40,40,1,58,5,4840
370.5,39,43,2,31,7,5240
276.92,20,40,2,62,5,1030
1100.0,40,44,2,40,1,2300
807.69,40,39,2,64,1,4220
1596.0,40,43,1,63,1,2010
211.0,30,40,2,29,1,4600
54.0,6,36,1,16,7,4430
2115.38,40,44,1,59,1,2630
423.0,40,39,2,55,1,2540
700.0,40,43,2,59,7,2310
576.92,40,42,2,25,7,4610
343.35,30,39,2,21,1,8800
615.38,40,43,2,45,5,5330
1961.53,40,44,2,40,1,4710
942.3,40,43,2,36,4,1030
673.07,40,43,1,33,1,5520
2884.61,60,43,1,53,1,10
560.0,40,39,1,28,7,4010
500.0,40,39,1,63,1,8320
1250.0,32,44,2,57,1,350
1923.07,60,43,1,55,1,860
560.0,40,39,1,59,1,565
576.92,40,43,1,22,7,2320
1280.0,40,39,1,32,7,1410
55.55,10,40,2,21,7,1965
360.0,40,40,2,19,7,4720
1153.84,48,40,1,53,1,3740
250.0,25,39,2,32,7,4010
2030.76,40,40,1,56,1,4850
673.07,40,40,2,50,1,5260
451.28,42,40,1,52,1,8300
1462.5,45,39,1,50,1,430
75.0,15,43,2,24,7,2340
520.0,40,43,2,58,1,7330
769.0,60,43,2,62,5,5000
432.0,40,39,2,43,7,7750
390.0,40,39,2,54,1,7810
370.4,40,33,1,45,5,9600
2307.0,50,46,1,50,7,1760
1153.84,50,43,2,28,1,910
126.0,12,36,2,17,7,3655
2884.61,50,43,1,56,1,120
1000.0,40,43,1,52,1,4850
540.0,40,42,2,64,7,5400
442.3,40,39,2,62,1,5820
900.0,50,39,1,55,1,9600
440.0,40,40,2,20,7,5000
59.5,7,37,1,18,7,4720
323.2,40,39,1,26,7,9130
1346.0,40,39,1,29,7,6230
440.0,40,34,1,41,1,4020
1250.0,40,44,2,39,1,2200
750.0,40,40,2,31,1,5550
144.0,16,34,2,59,4,4610
546.0,40,41,2,54,1,3255
666.66,12,34,1,56,1,8550
1200.0,40,39,1,54,1,9130
1269.23,40,46,1,56,1,1007
980.0,60,40,2,59,5,910
